"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
"n-alkane, C25","C25 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentacosane, formula : C25H52"
"n-alkane, C26","C26 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexacosane, formula : C26H54, synonyms: cerane, hexeikosane"
"n-alkane, C27","C27 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptacosane, formula : C27H56"
"n-alkane, C28","C28 alkane, normal (i.e. straight-chain) isomer, common name: n-Octacosane, formula : C28H58"
"n-alkane, C29","C29 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonacosane, formula : C29H60"
"n-alkane, C30","C30 alkane, normal (i.e. straight-chain) isomer, common name: n-Triacontane, formula : C30H62"
"n-alkane, C31","C31 alkane,normal (i.e. straight-chain) isomer, common name: n-Hentriacontane, formula : C31H64, Synonym: untriacontane"
"n-alkane, C32","C32 alkane, normal (i.e. straight-chain) isomer, common name: n-Dotriacontane, formula : C32H66, Synonym: dicetyl"
"n-alkane, C33","C33 alkane, (i.e. straight-chain) isomer, common name: n-Tritriacontane, formula : C33H68"
"n-alkane, long-chain","long-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
"n-alkane, short-chain","short-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
"n-alkane, total","Total alkane, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
Naphthalene,Naphthalene (C10H8)
Net heat flux,Outgoing rate of heat energy transfer minus the incoming rate of heat energy transfer through a given area
"Nickel, dissolved",Dissolved Nickel (Ni)
"Nickel, distribution coefficient",Ratio of concentrations of nickel in two phases in equilibrium with each other. Phases must be specified.
"Nickel, particulate",Particulate nickel (Ni) in suspension
"Nickel, total","Total Nickel (Ni). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Nitrobenzene,Nitrobenzene (C6H5NO2)
"Nitrogen, dissolved (free+ionized) Ammonia (NH3) + (NH4)",Dissolved (free+ionized) Ammonia
"Nitrogen, dissolved inorganic",Dissolved inorganic nitrogen
"Nitrogen, dissolved Kjeldahl",Dissolved Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4))nitrogen
"Nitrogen, dissolved nitrate (NO3)",Dissolved nitrate (NO3) nitrogen
"Nitrogen, dissolved nitrite (NO2)",Dissolved nitrite (NO2) nitrogen
"Nitrogen, dissolved nitrite (NO2) + nitrate (NO3)",Dissolved nitrite (NO2) + nitrate (NO3) nitrogen
"Nitrogen, dissolved organic",Dissolved Organic Nitrogen
"Nitrogen, gas",Gaseous Nitrogen (N2)
"Nitrogen, inorganic",Total Inorganic Nitrogen
"Nitrogen, NH3",Free Ammonia (NH3)
"Nitrogen, NH3 + NH4",Total (free+ionized) Ammonia
"Nitrogen, NH4",Ammonium (NH4)
"Nitrogen, nitrate (NO3)",Nitrate (NO3) Nitrogen
"Nitrogen, nitrite (NO2)",Nitrite (NO2) Nitrogen
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrite (NO2) + Nitrate (NO3) Nitrogen
"Nitrogen, organic",Organic Nitrogen
"Nitrogen, organic kjeldahl",Organic Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4)) nitrogen
"Nitrogen, particulate organic",Particulate Organic Nitrogen
"Nitrogen, total",Total Nitrogen (NO3+NO2+NH4+NH3+Organic)
"Nitrogen, total dissolved",Total dissolved nitrogen
"Nitrogen, total kjeldahl",Total Kjeldahl Nitrogen (Ammonia+Organic)
"Nitrogen, total nitrite",Total nitrite (NO2)
"Nitrogen, total organic",Total (dissolved + particulate) organic nitrogen
Nitrogen-15,"15 Nitrogen, Delta Nitrogen"
"Nitrogen-15, stable isotope ratio delta",Difference in the 15N:14N ratio between the sample and standard (del N 15)
N-Nitrosodiphenylamine,N-Nitrosodiphenylamine (C12H10N2O)
No vegetation coverage,Areal coverage of no vegetation
Odor,Odor
Oil and grease,Oil and grease
Osmotic pressure,Osmotic pressure
Oxygen,Oxygen
Oxygen flux,Oxygen (O2) flux
"Oxygen, dissolved",Dissolved oxygen
"Oxygen, dissolved percent of saturation","Dissolved oxygen, percent saturation"
"Oxygen, dissolved, transducer signal","Dissolved oxygen, raw data from sensor"
Oxygen-18,"18 O, Delta O"
"Oxygen-18, stable isotope ratio delta",Difference in the 18O:16O ratio between the sample and standard
Ozone,Ozone (O3)
Parameter,Parameter related to a hydrologic process. An example usage would be for a starge-discharge relation parameter.
Pentachlorobenzene,Pentachlorobenzene (C6HCl5)
Pentachlorophenol,Pentachlorophenol (C6HCl5O)
Pentane,Pentane
Peridinin,The phytoplankton pigment Peridinin
Permittivity,"Permittivity is a physical quantity that describes how an electric field affects, and is affected by a dielectric medium, and is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or ""permit"") an electric field."
Perylene,"Perylene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
"Petroleum hydrocarbon, total",Total petroleum hydrocarbon
pH,pH is the measure of the acidity or alkalinity of a solution. pH is formally a measure of the activity of dissolved hydrogen ions (H+). Solutions in which the concentration of H+ exceeds that of OH- have a pH value lower than 7.0 and are known as acids.
Phenanthrene,"Phenanthrene (C14H10), a polycyclic aromatic hydrocarbon (PAH)"
Phenol,Phenol (C6H5OH)
"Phenolics, total",Total Phenolics
Pheophytin,Pheophytin (Chlorophyll which has lost the central Mg ion) is a degradation product of Chlorophyll
Phorate,Phorate (C7H17O2PS3)
Phosphorodithioic acid,Phosphorodithioic acid (C10N12N3O3PS2)
"Phosphorus, dissolved",Dissolved Phosphorus (P)
"Phosphorus, dissolved organic",Dissolved organic phosphorus
"Phosphorus, inorganic",Inorganic Phosphorus
"Phosphorus, organic",Organic Phosphorus
"Phosphorus, orthophosphate",Orthophosphate Phosphorus
"Phosphorus, orthophosphate dissolved",Dissolved orthophosphate phosphorus
"Phosphorus, orthophosphate total",Total orthophosphate phosphorus
"Phosphorus, particulate",Particulate phosphorus
"Phosphorus, particulate organic",Particulate organic phosphorus in suspension
"Phosphorus, phosphate (PO4)",Phosphate phosphorus
"Phosphorus, phosphate flux",Phosphate (PO4) flux
"Phosphorus, polyphosphate",Polyphosphate Phosphorus
"Phosphorus, total",Total Phosphorus
"Phosphorus, total dissolved",Total dissolved phosphorus
Phytoplankton,Measurement of phytoplankton with no differentiation between species
"Polycyclic aromatic hydrocarbon, alkyl","Polycyclic aromatic hydrocarbon (PAH) having at least one alkyl sidechain (methyl, ethyl or other alkyl group) attached to the aromatic ring structure"
"Polycyclic aromatic hydrocarbon, parent","Unsubstituted (i.e., non-alkylated) polycyclic aromatic hydrocarbon (PAH)"
"Polycyclic aromatic hydrocarbon, total","total polycyclic aromatic hydrocarbon (PAH), also known as poly-aromatic hydrocarbons or polynuclear aromatic hydrocarbons"
Position,Position of an element that interacts with water such as reservoir gates
"Potassium, dissolved",Dissolved Potassium (K)
"Potassium, total",Total Potassium (K)
Precipitation,Precipitation such as rainfall. Should not be confused with settling.
"Pressure, absolute",Pressure
"Pressure, gauge",Pressure relative to the local atmospheric or ambient pressure
Primary productivity,Primary Productivity
Program signature,A unique data recorder program identifier which is useful for knowing when the source code in the data recorder has been modified.
Pronamide,Pronamide (C12H11Cl2NO)
Propane,Propane
"Propane, dissolved",Dissolved Propane (C3H8)
Propanoic acid,Propanoic acid (C3H6O2)
Propylene glycol,Propylene glycol (C3H8O2)
Pyrene,"Pyrene (C16H10), a polycyclic aromatic hydrocarbon (PAH)"
Pyridine,Pyridine (C5H5N)
"Radiation, incoming longwave",Incoming Longwave Radiation
"Radiation, incoming PAR",Incoming Photosynthetically-Active Radiation
"Radiation, incoming shortwave",Incoming Shortwave Radiation
"Radiation, incoming UV-A",Incoming Ultraviolet A Radiation
"Radiation, incoming UV-B",Incoming Ultraviolet B Radiation
"Radiation, net",Net Radiation
"Radiation, net longwave",Net Longwave Radiation
"Radiation, net PAR",Net Photosynthetically-Active Radiation
"Radiation, net shortwave",Net Shortwave radiation
"Radiation, outgoing longwave",Outgoing Longwave Radiation
"Radiation, outgoing PAR",Outgoing Photosynthetically-Active Radiation
"Radiation, outgoing shortwave",Outgoing Shortwave Radiation
"Radiation, total incoming",Total amount of incoming radiation from all frequencies
"Radiation, total outgoing",Total amount of outgoing radiation from all frequencies
"Radiation, total shortwave",Total Shortwave Radiation
Radium-226,An isotope of radium in the uranium-238 decay series
Radium-228,An isotope of radium in the thorium-232 decay series
Radon-222,An isotope of radon
Rainfall rate,"A measure of the intensity of rainfall, calculated as the depth of water to fall over a given time period if the intensity were to remain constant over that time interval (in/hr, mm/hr, etc)"
Real dielectric constant,Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the stored energy within the medium. This is the real portion of the complex dielectric constant.
Recorder code,A code used to identifier a data recorder.
Reduction potential,Oxidation-reduction potential
Relative humidity,Relative humidity
Reservoir storage,Reservoir water volume
"Respiration, net",Net respiration
Retene,"Retene (C18H18), a polycyclic aromatic hydrocarbon (PAH), also known as methyl isopropyl phenanthrene or 1-methyl-7-isopropyl phenanthrene"
Ruthenium-106,The most stable isotope of ruthenium with a half life of 373.59 days.
Salicornia bigelovii coverage,Areal coverage of the plant Salicornia bigelovii
Salicornia virginica coverage,Areal coverage of the plant Salicornia virginica
Salinity,Salinity
Secchi depth,Secchi depth
"Sediment, passing sieve",The amount of sediment passing a sieve in a gradation test
"Sediment, retained on sieve",The amount of sediment retained on a sieve in a gradation test
"Sediment, suspended",Suspended Sediment
"Selenium, dissolved","Dissolved selenium (Se). For chemical terms, dissolved indicates a filtered sample."
"Selenium, distribution coefficient",Ratio of concentrations of selenium in two phases in equilibrium with each other. Phases must be specified.
"Selenium, particulate",Particulate selenium (Se) in suspension
"Selenium, total","Total Selenium (Se). For chemical terms, total indicates an unfiltered sample"
Sensible heat flux,Sensible Heat Flux
Sequence number,A counter of events in a sequence
Shannon diversity index,"A diversity index that is based on the number of taxa, and the proportion of individuals in each taxa relative to the entire community, evaluated as entropy. Also known as Shannon-Weaver diversity index, the Shannon-Wiener index, the Shannon index and the Shannon entropy."
Shannon evenness index,"A dimensionless diversity index, calculated as a ratio of the Shannon diversity index over its maximum. Also known as the Shannon Weaver evenness index"
Sigma-t,"Density of seawater calculated with in situ salinity and temperature, but pressure equal to zero, rather than the in situ pressure, and 1000 kg/m^3 is subtracted. Defined as (S,T)-1000 kg m-3, where (S,T) is the density of a sample of seawater at temperature T and salinity S, measured in kg m-3, at standard atmospheric pressure."
Signal-to-noise ratio,"Signal-to-noise ratio (often abbreviated SNR or S/N) is defined as the ratio of a signal power to the noise power corrupting the signal. The higher the ratio, the less obtrusive the background noise is."
Silica,Silica (SiO2)
"Silica, dissolved",Dissolved silica (SiO2)
Silicate,"Silicate. Chemical compound containing silicon, oxygen, and one or more metals, e.g., aluminum, barium, beryllium, calcium, iron, magnesium, manganese, potassium, sodium, or zirconium."
Silicic acid,Hydrated silica disolved in water
Silicic acid flux,Silicate acid (H4SiO4) flux
Silicon,Silicon (Si)
"Silicon, dissolved",Dissolved Silicon (Si)
"Silver, dissolved","Dissolved silver (Ag). For chemical terms, dissolved indicates a filtered sample."
"Silver, total","Total Silver (Ag). For chemical terms, total represents an unfiltered sample."
Snow depth,Snow depth
Snow water equivalent,"The depth of water if a snow cover is completely melted, expressed in units of depth, on a corresponding horizontal surface area."
Sodium adsorption ratio,Sodium adsorption ratio
Sodium plus potassium,Sodium plus potassium
"Sodium, dissolved",Dissolved Sodium (Na)
"Sodium, fraction of cations","Sodium, fraction of cations"
"Sodium, total",Total Sodium (Na)
"Solids, fixed dissolved",Fixed Dissolved Solids
"Solids, fixed suspended",Fixed Suspended Solids
"Solids, total",Total Solids
"Solids, total dissolved",Total Dissolved Solids
"Solids, total fixed",Total Fixed Solids
"Solids, total suspended",Total Suspended Solids
"Solids, total volatile",Total Volatile Solids
"Solids, volatile dissolved",Volatile Dissolved Solids
"Solids, volatile suspended",Volatile Suspended Solids
Spartina alterniflora coverage,Areal coverage of the plant Spartina alterniflora
Spartina spartinea coverage,Areal coverage of the plant Spartina spartinea
Specific conductance,Specific conductance
Speed of sound,Speed of sound in the medium sampled
Squalene,Squalene (C30H50)
Streamflow,The volume of water flowing past a fixed point.  Equivalent to discharge
"Streptococci, fecal",Fecal Streptococci
"Strontium, dissolved",Dissolved Strontium (Sr)
"Strontium, total",Total Strontium (Sr)
Styrene,Styrene (C8H8)
Suaeda linearis coverage,Areal coverage of the plant Suaeda linearis
Suaeda maritima coverage,Areal coverage of the plant Suaeda maritima
"Sulfate, dissolved",Dissolved Sulfate (SO4)
"Sulfate, total",Total Sulfate (SO4)
"Sulfide, dissolved",Dissolved Sulfide
"Sulfide, total",Total sulfide
Sulfur,Sulfur (S)
Sulfur dioxide,Sulfur dioxide (SO2)
"Sulfur, dissolved",Dissolved Sulfur (S)
"Sulfur, organic",Organic Sulfur
"Sulfur, pyritic",Pyritic Sulfur
Sunshine duration,Sunshine duration
"Superoxide dismutase, activity",Superoxide dismutase (SOD) activity
"Superoxide dismutase, delta cycle threshold","Delta cycle threshold for superoxide dismutase (sod). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for sod is the difference between the cycle threshold (Ct) of sod gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
Table overrun error count,A counter which counts the number of datalogger table overrun errors
Taxa count,"Count of unique taxa. A taxon (plural: taxa) is a group of one (or more) populations of organism(s), which is judged to be a unit."
TDR waveform relative length,"Time domain reflextometry, apparent length divided by probe length. Square root of dielectric"
Temperature,Temperature
"Temperature, dew point",Dew point temperature
"Temperature, transducer signal","Temperature, raw data from sensor"
Terbufos,Terbufos (C9H21O2PS3)
Terpineol,Terpineol (C10H18O)
Tetracene,"Tetracene (C18H12), a polycyclic aromatic hydrocarbon (PAH), also known as naphthacene or benz[b]anthracene"
Tetrachloroethene,Tetrachloroethene (C2Cl4)
Tetraethylene glycol,Tetraethylene glycol (C8H18O5)
"Thallium, dissolved","Dissolved thallium (Tl). ""dissolved"" indicates measurement was made on a filtered sample."
"Thallium, distribution coefficient",Ratio of concentrations of thallium in two phases in equilibrium with each other. Phases must be specified.
"Thallium, particulate",Particulate thallium (Tl) in suspension
"Thallium, total","Total thallium (Tl). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Thorium,Thorium (Th)
"Thorium, dissolved","Dissolved thorium. For chemical terms, dissolved indicates a filtered sample."
Thorium-228,An isotope of thorium in the thorium-232 decay series
Thorium-230,An isotope of thorium in the thorium-232 decay series
Thorium-232,A radioactive isotope of thorium which undergoes alpha decay
THSW Index,"The THSW Index uses temperature, humidity, solar radiation, and wind speed to calculate an apparent temperature."
THW Index,"The THW Index uses temperature, humidity, and wind speed to calculate an apparent temperature."
Tide stage,Tidal stage
"Tin, dissolved","Dissolved tin (Sn). ""Dissolved "" indicates a the measurement was made on a filtered sample."
"Tin, total","Total tin (Sn).""Total"" indicates was measured on a whole water (unfiltered) sample."
Titanium,Titanium (Ti)
"Titanium, dissolved",Dissolved Titanium
Toluene,Toluene (C6H5CH3)
"trans-1,2-Dichloroethene","trans-1,2-Dichloroethene (C2H2Cl2)"
"trans-1,3-Dichloropropene","trans-1,3-Dichloropropene (C3H4Cl2)"
Transient species coverage,Areal coverage of transient species
Transpiration,Transpiration
Trichloroethene,Trichloroethene (C2HCl3)
Triethylene glycol,Triethylene glycol (C6H14O4)
"Tritium (3H), Delta T of H2O",Isotope 3H of water
TSI,Carlson Trophic State Index is a measurement of eutrophication based on Secchi depth
Turbidity,Turbidity
Uranium,Uranium (U)
"Uranium, dissolved","Dissolved Uranium. For chemical terms, dissolved indicates a filtered sample."
Uranium-234,An isotope of uranium in the uranium-238 decay series
Uranium-235,An isotope of uranium that can sustain fission chain reaction
Uranium-238,Uranium's most common isotope
Urea,Urea ((NH2)2CO)
Urea flux,Urea ((NH2)2CO) flux
"Vanadium, dissolved","Dissolved vanadium (V). ""Dissolved"" indicates the measurement was made on a filtered sample."
"Vanadium, particulate",Particulate vanadium (V) in suspension
"Vanadium, total","Total vanadium (V). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Vapor pressure,The pressure of a vapor in equilibrium with its non-vapor phases
Vapor pressure deficit,The difference between the actual water vapor pressure and the saturation of water vapor pressure at a particular temperature.
Velocity,"The velocity of a substance, fluid or object"
Visibility,Visibility
Voltage,Voltage or Electrical Potential
Volume,Volume. To quantify discharge or hydrograph volume or some other volume measurement.
Volumetric water content,Volume of liquid water relative to bulk volume. Used for example to quantify soil moisture
Watchdog error count,A counter which counts the number of total datalogger watchdog errors
Water Content,Quantity of water contained in a material or organism
Water depth,Water depth is the distance between the water surface and the bottom of the water body at a specific location specified by the site location and offset.
"Water depth, averaged",Water depth averaged over a channel cross-section or water body.  Averaging method to be specified in methods.
Water flux,Water Flux
Water level,Water level relative to datum. The datum may be local or global such as NGVD 1929 and should be specified in the method description for associated data values.
Water potential,"Water potential is the potential energy of water relative to pure free water (e.g. deionized water) in reference conditions. It quantifies the tendency of water to move from one area to another due to osmosis, gravity, mechanical pressure, or matrix effects including surface tension."
"Water Use, Agriculture",Water pumped for Agriculture
"Water Use, Commercial + Industrial + Power","Water pumped by commercial, industrial users."
"Water Use, Domestic wells",Water pumped by domestic wells; residents and landowners not using public supply. Nonagriculture wells.
"Water Use, Public Supply",Water supplied by a public utility
"Water Use, Recreation","Recreational water use, for example golf courses."
Water vapor density,Water vapor density
Wave height,"The height of a surface wave, measured as the difference in elevation between the wave crest and an adjacent trough."
Weather conditions,Weather conditions
Well flow rate,Flow rate from well while pumping
Wellhead pressure,"The pressure exerted by the fluid at the wellhead or casinghead after the well has been shut off for a period of time, typically 24 hours"
Wind chill,The effect of wind on the temperature felt on human skin.
Wind direction,Wind direction
Wind gust direction,Direction of gusts of wind
Wind gust speed,Speed of gusts of wind
Wind Run,The length of flow of air past a point over a time interval. Windspeed times the interval of time.
Wind speed,Wind speed
Wind stress,Drag or trangential force per unit area exerted on a surface by the adjacent layer of moving air
Wrack coverage,Areal coverage of dead vegetation
"Xylenes, total",Total xylenes: C6H4(CH3)2
Zeaxanthin,The phytoplankton pigment Zeaxanthin
"Zinc, dissolved",Dissolved Zinc (Zn)
"Zinc, distribution coefficient",Ratio of concentrations of zinc in two phases in equilibrium with each other. Phases must be specified.
"Zinc, particulate",Particulate zinc (Zn) in suspension
"Zinc, total","Total zinc (Zn).""Total"" indicates was measured on a whole water (unfiltered) sample."
"Zircon, dissolved",Dissolved Zircon (Zr)
"Zirconium, dissolved",Dissolved Zirconium
Zirconium-95,A radioactive isotope of zirconium with a half-life of 63 days
Zooplankton,"Zooplanktonic organisms, non-specific"
